prefix,country,region,city,zip
64.199.254.0/23,US,US-IA,"Cedar Rapids",52404
68.169.252.0/22,US,US-IA,Dubuque,52001
72.50.240.0/24,US,US-IA,"Cedar Rapids",52404
98.159.120.0/21,US,US-IA,"Cedar Rapids",52404
98.159.120.0/22,US,US-IA,"Iowa City",52240
138.28.0.0/17,US,US-IA,"Cedar Rapids",52404
138.28.0.0/19,US,US-IA,Burlington,52601
138.28.8.0/21,US,US-IA,Keokuk,52632
138.28.16.0/22,US,US-IA,"Mt Pleasant",52641
138.28.20.0/22,US,US-IA,"Fort Madison",52639
138.28.32.0/20,US,US-IA,Dubuque,52001
138.28.32.0/21,US,US-IA,Clinton,52732
138.28.40.0/22,US,US-IA,Clinton,52732
138.28.48.0/20,US,US-IA,"Cedar Rapids",52404
138.28.64.0/18,US,US-IA,"Cedar Rapids",52404
142.204.128.0/17,US,US-IA,"Iowa City",52240
142.204.128.0/19,US,US-IA,Dubuque,52001
142.204.144.0/21,US,US-IA,Clinton,52732
142.204.160.0/19,US,US-IA,"Iowa City",52240
142.204.192.0/20,US,US-IA,"Iowa City",52240
142.204.208.0/20,US,US-IA,Burlington,52601
142.204.212.0/23,US,US-IA,"Fort Madison",52639
142.204.214.0/23,US,US-IA,Keokuk,52632
142.204.216.0/23,US,US-IA,"Mt Pleasant",52641
142.204.222.0/23,US,US-IA,Camanche,52730
142.204.224.0/20,US,US-IA,Burlington,52601
142.204.240.0/21,US,US-IA,Dubuque,52001
142.204.248.0/21,US,US-IA,"Iowa City",52240
162.253.44.0/22,US,US-IA,"Cedar Rapids",52404
192.154.14.0/23,US,US-IA,Dubuque,52001
192.199.180.0/22,US,US-IA,"Cedar Rapids",52404
192.199.181.0/24,US,US-IA,"Iowa City",52240
192.236.0.0/24,US,US-IA,"Cedar Rapids",52404
199.10.4.0/22,US,US-IA,Dubuque,52001
199.188.64.0/22,US,US-IA,"Iowa City",52240
199.188.66.0/23,US,US-IA,"Iowa City",52240
199.189.228.0/22,US,US-IA,"Cedar Rapids",52404
199.189.228.0/23,US,US-IA,Dubuque,52001
204.144.192.0/18,US,US-IA,"Cedar Rapids",52404
204.144.200.0/22,US,US-IA,"Iowa City",52240
204.144.206.0/23,US,US-IA,Camanche,52730
204.144.208.0/22,US,US-IA,"Iowa City",52240
204.144.212.0/23,US,US-IA,"Iowa City",52240
204.144.214.0/23,US,US-IA,Dubuque,52001
204.144.220.0/22,US,US-IA,Dubuque,52001
204.144.240.0/20,US,US-IA,Dubuque,52001
205.143.47.0/24,US,US-IA,"Cedar Rapids",52404
207.191.192.0/19,US,US-IA,"Cedar Rapids",52404
207.191.202.0/23,US,US-IA,"Iowa City",52240
207.191.204.0/23,US,US-IA,Dubuque,52001
207.191.212.0/23,US,US-IA,"Iowa City",52240
207.191.223.0/24,US,US-IA,"Cedar Rapids",52404
209.252.168.0/21,US,US-IA,"Cedar Rapids",52404
209.252.168.0/22,US,US-IA,Marshalltown,50158
2605:3f80::/28,US,US-IA,"Cedar Rapids",52404
2605:3f80::/32,US,US-IA,"Cedar Rapids",52404
2605:3f84:2100::/40,US,US-IA,"Iowa City",52240
2605:3f84:2200::/40,US,US-IA,Dubuque,52001
2605:3f84:2700::/40,US,US-IA,Clinton,52732
2605:3f84:2740::/44,US,US-IA,Camanche,52730
2605:3f84:4100::/40,US,US-IA,Marshalltown,50158
2605:3f84:4400::/38,US,US-IA,Burlington,52601
